Line,Rep,Year,Loc,Harvest,Yield,Brix,pH,TA
SCT_0057,1,2009,OH,9/7/13,NA,5.1,4.19,0.47
SCT_0057,1,2009,CA,9/14/10,65367.99,5.3,4.44,0.33
SCT_0057,1,2010,CA,NA,NA,5.32,4.63,0.25
SCT_0057,2,2009,OH,9/14/13,NA,5.5,4.33,0.45
SCT_0057,2,2009,CA,9/22/10,NA,5.27,4.38,0.35
SCT_0057,2,2010,OH,9/30/14,60920.92,5.5,4.39,0.43
SCT_0057,2,2010,CA,NA,NA,4.29,4.61,0.27
SCT_0058,1,2009,OH,9/10/13,NA,6,4.28,0.43
SCT_0058,1,2009,CA,9/16/10,71832.96,5.35,4.49,0.33
SCT_0058,1,2010,CA,NA,NA,5.21,4.31,0.4
SCT_0058,2,2009,OH,9/16/13,NA,5.7,4.24,0.47
SCT_0058,2,2009,CA,9/16/10,NA,5.62,4.44,0.34
SCT_0058,2,2010,OH,9/28/14,111478.27,5.4,4.57,0.41
SCT_0058,2,2010,CA,NA,NA,4.69,4.55,0.27
SCT_0059,1,2009,OH,9/7/13,NA,5.3,4.14,0.46
SCT_0059,1,2009,CA,9/16/10,61776.35,5.15,4.44,0.2
SCT_0059,1,2010,CA,NA,NA,4.36,4.33,0.32
SCT_0059,2,2009,OH,9/14/13,NA,6.1,4.32,0.5
SCT_0059,2,2009,CA,9/12/10,NA,4.13,4.28,0.33
SCT_0059,2,2010,OH,9/30/14,124922.89,4.9,4.44,0.43
SCT_0059,2,2010,CA,NA,NA,4.82,4.3,0.32
SCT_0060,1,2009,OH,9/7/13,NA,5,4.3,0.37
SCT_0060,1,2009,CA,9/14/10,54593.05,5,4.42,0.37
SCT_0060,1,2010,CA,NA,NA,4.45,4.47,0.3
SCT_0060,2,2009,OH,9/16/13,NA,6,4.21,0.57
SCT_0060,2,2009,CA,9/12/10,NA,5.64,4.52,0.31
SCT_0060,2,2010,OH,9/23/14,86969.86,6.2,4.4,0.57
SCT_0060,2,2010,CA,NA,NA,4.3,4.53,0.25
SCT_0061,1,2009,OH,9/7/13,NA,5.4,4.18,0.56
SCT_0061,1,2009,CA,9/14/10,51001.4,4.8,4.43,0.32
SCT_0061,1,2010,CA,NA,NA,NA,NA,NA
SCT_0061,2,2009,OH,9/16/13,NA,5.4,4.19,0.45
SCT_0061,2,2009,CA,9/12/10,NA,4.48,4.47,0.31
SCT_0061,2,2010,OH,9/16/14,86409.67,4.8,4.3,0.42
SCT_0061,2,2010,CA,NA,NA,NA,NA,NA
SCT_0062,1,2009,OH,9/7/13,NA,5.2,4.23,0.39
SCT_0062,1,2009,CA,9/16/10,63931.33,6.25,4.39,0.36
SCT_0062,1,2010,CA,NA,NA,4.47,4.51,0.27
SCT_0062,2,2009,OH,9/16/13,NA,6.6,4.1,0.58
SCT_0062,2,2009,CA,9/12/10,NA,5.33,4.36,0.36
SCT_0062,2,2010,OH,9/28/14,118200.58,5.3,4.39,0.34
SCT_0062,2,2010,CA,NA,NA,4.33,4.51,0.26
SCT_0063,1,2009,OH,9/7/13,NA,5,4.21,0.42
SCT_0063,1,2009,CA,9/12/10,64649.66,4.75,4.46,0.23
SCT_0063,1,2010,CA,NA,NA,4.27,4.32,0.36
SCT_0063,2,2009,OH,9/14/13,NA,5.5,4.3,0.5
SCT_0063,2,2009,CA,9/16/10,NA,4.29,4.34,0.3
SCT_0063,2,2010,OH,9/16/14,103635.58,5.1,4.35,0.44
SCT_0063,2,2010,CA,NA,NA,5.07,4.34,0.34
SCT_0064,1,2009,OH,9/7/13,NA,5.5,4.39,0.37
SCT_0064,1,2009,CA,9/12/10,43818.11,5.65,4.51,0.31
SCT_0064,1,2010,CA,NA,NA,5.14,4.45,0.32
SCT_0064,2,2009,OH,9/16/13,NA,6.8,4.22,0.55
SCT_0064,2,2009,CA,9/16/10,NA,5.08,4.22,0.35
SCT_0064,2,2010,OH,9/28/14,80107.5,5.7,4.36,0.45
SCT_0064,2,2010,CA,NA,NA,4.19,4.7,0.24
SCT_0065,1,2009,OH,9/7/13,NA,5.1,4.14,0.41
SCT_0065,1,2009,CA,9/12/10,51719.73,4.75,4.44,0.32
SCT_0065,1,2010,CA,NA,NA,3.66,4.59,0.24
SCT_0065,2,2009,OH,9/14/13,NA,4.9,4.3,0.39
SCT_0065,2,2009,CA,9/14/10,NA,4.87,4.45,0.29
SCT_0065,2,2010,OH,9/16/14,112038.47,4.7,4.34,0.4
SCT_0065,2,2010,CA,NA,NA,3.83,4.44,0.28
SCT_0066,1,2009,OH,9/10/13,NA,5.7,4.4,0.38
SCT_0066,1,2009,CA,9/12/10,68241.31,5.15,4.48,0.31
SCT_0066,1,2010,CA,NA,NA,4.85,4.33,0.33
SCT_0066,2,2009,OH,9/16/13,NA,5.7,4.26,0.48
SCT_0066,2,2009,CA,9/12/10,NA,5.1,4.47,0.28
SCT_0066,2,2010,OH,9/16/14,109377.55,5.8,4.4,0.39
SCT_0066,2,2010,CA,NA,NA,4.31,4.7,0.22
SCT_0067,1,2009,OH,9/10/13,NA,5.4,4.23,0.41
SCT_0067,1,2009,CA,9/12/10,61058.02,4.45,4.49,0.29
SCT_0067,1,2010,CA,NA,NA,4.49,4.45,0.26
SCT_0067,2,2009,OH,9/16/13,NA,5.4,4.09,0.44
SCT_0067,2,2009,CA,9/16/10,NA,5.3,4.39,0.32
SCT_0067,2,2010,OH,9/28/14,76326.2,5.1,4.44,0.41
SCT_0067,2,2010,CA,NA,NA,4.18,4.48,0.25
SCT_0068,1,2009,OH,9/10/13,NA,6,4.24,0.47
SCT_0068,1,2009,OH,9/14/13,NA,6.1,4.36,0.52
SCT_0068,1,2009,CA,9/16/10,57466.37,5.4,4.42,0.32
SCT_0068,1,2010,CA,NA,NA,5.24,3.5,0.43
SCT_0068,2,2009,CA,9/25/10,NA,5.2,4.38,0.35
SCT_0068,2,2010,OH,9/30/14,113158.85,6.6,4.46,0.44
SCT_0068,2,2010,CA,NA,NA,5.51,4.39,0.34
SCT_0069,1,2009,OH,9/7/13,NA,5.5,4.18,0.47
SCT_0069,1,2009,CA,9/14/10,39508.13,6.1,4.36,0.42
SCT_0069,1,2010,CA,NA,NA,4.25,4.59,0.25
SCT_0069,2,2009,OH,9/16/13,NA,6.4,4.13,0.53
SCT_0069,2,2009,CA,9/16/10,NA,4.92,4.5,0.29
SCT_0069,2,2010,OH,9/28/14,71704.62,5.5,4.48,0.48
SCT_0069,2,2010,CA,NA,NA,5.19,4.36,0.34
SCT_0070,1,2009,OH,9/10/13,NA,5.3,4.22,0.45
SCT_0070,1,2009,CA,9/14/10,53156.39,4.8,4.41,0.34
SCT_0070,1,2010,CA,NA,NA,4.17,4.62,0.26
SCT_0070,2,2009,OH,9/14/13,NA,5.9,4.39,0.44
SCT_0070,2,2009,CA,9/16/10,NA,4.9,4.27,0.4
SCT_0070,2,2010,OH,9/30/14,88790.48,5.3,4.42,0.44
SCT_0070,2,2010,CA,NA,NA,5.11,4.53,0.24
SCT_0071,1,2009,OH,9/10/13,NA,5,4.32,0.4
SCT_0071,1,2009,CA,9/16/10,58903.03,5.35,4.48,0.32
SCT_0071,1,2010,CA,NA,NA,4.88,4.48,0.28
SCT_0071,2,2009,OH,9/16/13,NA,6.3,4.22,0.5
SCT_0071,2,2009,CA,9/20/10,NA,4.95,4.53,0.29
SCT_0071,2,2010,OH,9/30/14,80947.79,6,4.55,0.34
SCT_0071,2,2010,CA,NA,NA,4.08,4.6,0.24
SCT_0072,1,2009,OH,9/7/13,NA,5,4.3,0.48
SCT_0072,1,2009,CA,9/18/10,42381.45,4.75,4.33,0.4
SCT_0072,1,2010,CA,NA,NA,4.95,4.36,0.36
SCT_0072,2,2009,OH,9/14/13,NA,6.1,4.32,0.51
SCT_0072,2,2009,CA,9/16/10,NA,4.54,4.25,0.39
SCT_0072,2,2010,OH,9/23/14,66102.69,6,4.4,0.51
SCT_0072,2,2010,CA,NA,NA,4.22,4.54,0.28
SCT_0073,1,2009,OH,NA,NA,NA,NA,NA
SCT_0073,1,2009,CA,NA,NA,NA,NA,NA
SCT_0073,1,2010,CA,NA,NA,4.32,4.47,0.32
SCT_0073,2,2009,OH,NA,NA,NA,NA,NA
SCT_0073,2,2009,CA,NA,NA,NA,NA,NA
SCT_0073,2,2010,CA,NA,NA,5.09,4.46,0.3
SCT_0074,1,2009,OH,NA,NA,NA,NA,NA
SCT_0074,1,2009,CA,9/12/10,NA,NA,NA,NA
SCT_0074,1,2010,CA,NA,NA,NA,NA,NA
SCT_0074,2,2009,OH,NA,NA,NA,NA,NA
SCT_0074,2,2009,CA,NA,NA,NA,NA,NA
SCT_0074,2,2010,CA,NA,NA,4.27,4.44,0.27
SCT_0075,1,2009,OH,9/7/13,NA,5.4,4.12,0.51
SCT_0075,1,2009,CA,9/14/10,53156.39,4.3,4.41,0.19
SCT_0075,1,2010,CA,NA,NA,4.54,4.45,0.3
SCT_0075,2,2009,OH,9/16/13,NA,6.1,4.19,0.58
SCT_0075,2,2009,CA,9/16/10,NA,4.33,4.48,0.28
SCT_0075,2,2010,OH,9/28/14,92571.78,8.3,4.42,0.42
SCT_0075,2,2010,CA,NA,NA,4.58,4.27,0.35
SCT_0076,1,2009,OH,9/7/13,NA,5.6,4.59,0.38
SCT_0076,1,2009,CA,9/16/10,54593.05,5.25,4.43,0.29
SCT_0076,1,2010,CA,NA,NA,NA,NA,NA
SCT_0076,2,2009,OH,9/14/13,NA,5.9,4.37,0.43
SCT_0076,2,2009,CA,9/20/10,NA,4.88,4.26,0.35
SCT_0076,2,2010,OH,9/23/14,93412.07,5.4,4.69,0.33
SCT_0076,2,2010,CA,NA,NA,4.8,4.57,0.25
SCT_0077,1,2009,OH,9/7/13,NA,5.4,4.42,0.43
SCT_0077,1,2009,CA,9/14/10,43818.11,5.05,4.58,0.31
SCT_0077,1,2010,CA,NA,NA,5.1,4.24,0.42
SCT_0077,2,2009,OH,9/16/13,NA,5.1,4.28,0.47
SCT_0077,2,2009,CA,9/12/10,NA,4.88,4.58,0.27
SCT_0077,2,2010,OH,9/23/14,70724.28,5.6,4.4,0.42
SCT_0077,2,2010,CA,NA,NA,4.18,4.45,0.34
SCT_0078,1,2009,OH,9/7/13,NA,5.9,4.27,0.45
SCT_0078,1,2009,CA,9/14/10,62494.68,4.9,4.39,0.34
SCT_0078,1,2010,CA,NA,NA,4.09,4.32,0.3
SCT_0078,2,2009,OH,9/16/13,NA,5.7,4.22,0.49
SCT_0078,2,2009,CA,9/12/10,NA,4.77,4.4,0.31
SCT_0078,2,2010,OH,9/28/14,110497.94,6.2,4.41,0.44
SCT_0078,2,2010,CA,NA,NA,3.73,4.61,0.24
SCT_0079,1,2009,OH,9/7/13,NA,5.2,4.22,0.42
SCT_0079,1,2009,CA,9/16/10,70396.3,4.85,4.38,0.33
SCT_0079,1,2010,CA,NA,NA,4.62,4.35,0.33
SCT_0079,2,2009,OH,9/14/13,NA,5.7,4.33,0.48
SCT_0079,2,2009,CA,9/16/10,NA,5.09,4.37,0.35
SCT_0079,2,2010,OH,9/30/14,125623.13,5.4,4.4,0.4
SCT_0079,2,2010,CA,NA,NA,5.46,4.47,0.25
SCT_0080,1,2009,OH,9/7/13,NA,5.3,4.37,0.45
SCT_0080,1,2009,CA,9/16/10,39508.13,4.55,4.43,0.32
SCT_0080,1,2010,CA,NA,NA,4.66,4.51,0.26
SCT_0080,2,2009,OH,9/16/13,NA,6.4,4.2,0.56
SCT_0080,2,2009,CA,9/14/10,NA,4.58,4.41,0.35
SCT_0080,2,2010,OH,9/23/14,105316.16,5.3,4.45,0.41
SCT_0080,2,2010,CA,NA,NA,3.99,4.56,0.25
SCT_0081,1,2009,OH,9/7/13,NA,5.4,4.24,0.41
SCT_0081,1,2009,CA,9/16/10,58903.03,5.4,4.51,0.3
SCT_0081,1,2010,CA,NA,NA,3.98,4.23,0.29
SCT_0081,2,2009,OH,9/16/13,NA,5.5,4.26,0.35
SCT_0081,2,2009,CA,9/16/10,NA,4.61,4.46,0.29
SCT_0081,2,2010,OH,9/30/14,101814.96,5,4.56,0.34
SCT_0081,2,2010,CA,NA,NA,4.25,4.39,0.28
SCT_0082,1,2009,OH,9/7/13,NA,5.2,4.33,0.46
SCT_0082,1,2009,CA,9/14/10,40226.46,4.65,4.41,0.3
SCT_0082,1,2010,CA,NA,NA,3.98,4.41,0.3
SCT_0082,2,2009,OH,9/16/13,NA,5.8,4.1,0.49
SCT_0082,2,2009,CA,9/12/10,NA,4.88,4.38,0.31
SCT_0082,2,2010,OH,9/16/14,108957.41,5.8,4.3,0.5
SCT_0082,2,2010,CA,NA,NA,3.93,4.43,0.31
SCT_0083,1,2009,OH,9/7/13,NA,5.5,4.24,0.41
SCT_0083,1,2009,CA,9/16/10,51001.4,5.4,4.42,0.32
SCT_0083,1,2010,CA,NA,NA,4.47,4.55,0.22
SCT_0083,2,2009,OH,9/14/13,NA,6.6,4.19,0.53
SCT_0083,2,2009,CA,9/16/10,NA,4.73,4.45,0.27
SCT_0083,2,2010,OH,9/30/14,78286.88,6.1,4.42,0.47
SCT_0083,2,2010,CA,NA,NA,4.79,4.49,0.25
SCT_0084,1,2009,OH,9/7/13,NA,5.5,4.11,0.54
SCT_0084,1,2009,CA,9/12/10,53874.72,5.45,4.44,0.33
SCT_0084,1,2010,CA,NA,NA,4.02,4.45,0.29
SCT_0084,2,2009,OH,9/16/13,NA,6.6,4.14,0.57
SCT_0084,2,2009,CA,9/14/10,NA,4.73,4.39,0.33
SCT_0084,2,2010,OH,9/30/14,91031.25,5.8,4.33,0.45
SCT_0084,2,2010,CA,NA,NA,4.67,4.44,0.3
SCT_0085,1,2009,OH,9/7/13,NA,5.6,4.15,0.45
SCT_0085,1,2009,CA,9/14/10,45254.76,5.35,4.46,0.34
SCT_0085,1,2010,CA,NA,NA,4.38,4.4,0.28
SCT_0085,2,2009,OH,9/16/13,NA,6,4.19,0.48
SCT_0085,2,2009,CA,9/16/10,NA,5.39,4.38,0.32
SCT_0085,2,2010,OH,9/28/14,91871.54,6.2,4.45,0.42
SCT_0085,2,2010,CA,NA,NA,3.64,4.5,0.24
SCT_0086,1,2009,OH,9/10/13,NA,5.6,4.21,0.44
SCT_0086,1,2009,CA,9/16/10,39508.13,5.2,4.62,0.29
SCT_0086,1,2010,CA,NA,NA,5.43,4.5,0.3
SCT_0086,2,2009,OH,9/16/13,NA,6.6,4.2,0.42
SCT_0086,2,2009,CA,9/16/10,NA,5.27,4.4,0.32
SCT_0086,2,2010,OH,9/28/14,60920.92,6,4.39,0.41
SCT_0086,2,2010,CA,NA,NA,5.76,4.56,0.3
SCT_0087,1,2009,OH,9/7/13,NA,4.6,4.38,0.38
SCT_0087,1,2009,CA,9/16/10,65367.99,4.5,4.59,0.25
SCT_0087,1,2010,CA,NA,NA,4.85,4.35,0.34
SCT_0087,2,2009,OH,9/14/13,NA,5.1,4.25,0.46
SCT_0087,2,2009,CA,9/16/10,NA,4.36,4.36,0.29
SCT_0087,2,2010,OH,9/28/14,91591.45,5.8,4.37,0.46
SCT_0087,2,2010,CA,NA,NA,3.9,4.45,0.23
SCT_0088,1,2009,OH,9/7/13,NA,5.7,4.2,0.37
SCT_0088,1,2009,CA,9/8/10,31606.5,5,4.53,0.26
SCT_0088,1,2010,CA,NA,NA,4.32,4.46,0.26
SCT_0088,2,2009,OH,9/14/13,NA,5.2,4.4,0.32
SCT_0088,2,2009,CA,9/14/10,NA,4.97,4.51,0.25
SCT_0088,2,2010,OH,9/23/14,72965.05,6.1,4.32,0.41
SCT_0088,2,2010,CA,NA,NA,4.25,4.54,0.22
SCT_0089,1,2009,OH,9/7/13,NA,5.8,4.29,0.4
SCT_0089,1,2009,CA,9/16/10,52438.06,5.1,4.44,0.32
SCT_0089,1,2010,CA,NA,NA,4.14,4.44,0.25
SCT_0089,2,2009,OH,9/14/13,NA,6.5,4.32,0.48
SCT_0089,2,2009,CA,9/16/10,NA,4.79,4.61,0.24
SCT_0089,2,2010,OH,9/23/14,91731.49,5.4,4.33,0.37
SCT_0089,2,2010,CA,NA,NA,4.94,4.3,0.35
SCT_0090,1,2009,OH,9/7/13,NA,5.4,4.12,0.44
SCT_0090,1,2009,CA,9/20/10,20831.56,4.9,4.32,0.37
SCT_0090,1,2010,CA,NA,NA,5.16,4.22,0.35
SCT_0090,2,2009,OH,9/16/13,NA,6.2,4.07,0.49
SCT_0090,2,2009,CA,10/5/10,NA,5.15,4.33,0.34
SCT_0090,2,2010,OH,9/28/14,70724.28,6.1,4.42,0.45
SCT_0090,2,2010,CA,NA,NA,4.97,4.34,0.36
SCT_0091,1,2009,OH,9/7/13,NA,4.7,4.39,0.33
SCT_0091,1,2009,CA,9/16/10,48846.41,4,4.52,0.25
SCT_0091,1,2010,CA,NA,NA,5.09,4.45,0.31
SCT_0091,2,2009,OH,9/16/13,NA,5.6,4.21,0.48
SCT_0091,2,2009,CA,9/28/10,NA,4.18,4.36,0.3
SCT_0091,2,2010,OH,9/16/14,56019.23,5.2,4.38,0.38
SCT_0091,2,2010,OH,9/30/14,111898.42,5.6,4.55,0.36
SCT_0091,2,2010,CA,NA,NA,4.83,4.39,0.32
SCT_0092,1,2009,OH,9/7/13,NA,5.3,4.35,0.36
SCT_0092,1,2009,CA,9/14/10,43099.78,4.75,4.44,0.27
SCT_0092,1,2010,CA,NA,NA,4.46,4.38,0.28
SCT_0092,2,2009,OH,9/14/13,NA,5.1,4.38,0.42
SCT_0092,2,2009,CA,9/12/10,NA,4.83,4.51,0.28
SCT_0092,2,2010,OH,9/28/14,67643.22,5.8,4.47,0.39
SCT_0092,2,2010,CA,NA,NA,4.4,4.61,0.23
SCT_0093,1,2009,OH,9/7/13,NA,5,4.34,0.34
SCT_0093,1,2009,CA,9/12/10,17958.24,5.3,4.44,0.34
SCT_0093,1,2010,CA,NA,NA,4.67,4.49,0.26
SCT_0093,2,2009,OH,9/14/13,NA,5.3,4.42,0.38
SCT_0093,2,2009,CA,9/12/10,NA,5.7,4.61,0.25
SCT_0093,2,2010,OH,9/30/14,76466.25,4.6,4.68,0.3
SCT_0093,2,2010,CA,NA,NA,4.8,4.62,0.23
SCT_0094,1,2009,OH,9/7/13,NA,5.4,4.26,0.39
SCT_0094,1,2009,CA,9/25/10,43099.78,5.05,4.32,0.38
SCT_0094,1,2010,CA,NA,NA,5.09,4.28,0.4
SCT_0094,2,2009,OH,9/16/13,NA,5.9,4.26,0.44
SCT_0094,2,2009,CA,9/25/10,NA,4.87,4.21,0.38
SCT_0094,2,2010,OH,9/16/14,90891.2,5.3,4.4,0.41
SCT_0094,2,2010,CA,NA,NA,5.2,4.37,0.3
SCT_0095,1,2009,OH,9/7/13,NA,6.6,4.52,0.36
SCT_0095,1,2009,CA,9/16/10,54593.05,5.15,4.71,0.21
SCT_0095,1,2010,CA,NA,NA,4.98,4.69,0.23
SCT_0095,2,2009,OH,9/16/13,NA,6.1,4.21,0.43
SCT_0095,2,2009,CA,9/16/10,NA,5.6,4.46,0.3
SCT_0095,2,2010,OH,9/30/14,47616.35,5.4,4.45,0.31
SCT_0095,2,2010,CA,NA,NA,5.38,4.52,0.26
SCT_0096,1,2009,OH,9/7/13,NA,5.1,4.47,0.33
SCT_0096,1,2009,CA,9/12/10,30888.17,6.05,4.55,0.29
SCT_0096,1,2010,CA,NA,NA,6.03,4.7,0.2
SCT_0096,2,2009,OH,9/14/13,NA,6.6,4.28,0.41
SCT_0096,2,2009,CA,9/14/10,NA,6.2,4.66,0.25
SCT_0096,2,2010,OH,9/16/14,118060.53,4.6,4.39,0.38
SCT_0096,2,2010,CA,NA,NA,5.18,4.62,0.24
SCT_0097,1,2009,OH,9/7/13,NA,5,4.28,0.32
SCT_0097,1,2009,CA,9/8/10,17239.91,5.95,4.4,0.33
SCT_0097,1,2010,CA,NA,NA,4.41,4.39,0.28
SCT_0097,2,2009,OH,9/14/13,NA,5.1,4.21,0.43
SCT_0097,2,2009,CA,9/10/10,NA,5.34,4.37,0.3
SCT_0097,2,2010,OH,9/16/14,73665.29,5.3,4.35,0.44
SCT_0097,2,2010,CA,NA,NA,3.56,4.57,0.19
SCT_0098,1,2009,OH,9/10/13,NA,4.7,4.18,0.35
SCT_0098,1,2009,CA,9/12/10,43099.78,4.65,4.4,0.27
SCT_0098,1,2010,CA,NA,NA,4.39,4.41,0.26
SCT_0098,2,2009,OH,9/16/13,NA,4.5,4.16,0.4
SCT_0098,2,2009,CA,9/14/10,NA,4.75,4.34,0.31
SCT_0098,2,2010,OH,9/23/14,45179.51,4.9,4.24,0.39
SCT_0098,2,2010,CA,NA,NA,4.25,3.93,0.23
SCT_0099,1,2009,OH,9/7/13,NA,5.9,4.48,0.44
SCT_0099,1,2009,CA,9/20/10,50283.07,5.8,4.33,0.41
SCT_0099,1,2010,CA,NA,NA,5.51,4.36,0.32
SCT_0099,2,2009,OH,9/14/13,NA,6.4,4.23,0.5
SCT_0099,2,2009,CA,10/5/10,NA,5.15,4.33,0.35
SCT_0099,2,2010,OH,9/30/14,103495.53,5.6,4.41,0.37
SCT_0099,2,2010,CA,NA,NA,5.24,4.52,0.3
SCT_0100,1,2009,OH,9/7/13,NA,5.8,4.18,0.54
SCT_0100,1,2009,CA,9/25/10,68959.64,5.35,4.27,0.39
SCT_0100,1,2010,CA,NA,NA,5.24,4.29,0.42
SCT_0100,2,2009,OH,9/14/13,NA,6,4.44,0.31
SCT_0100,2,2009,CA,9/28/10,NA,5.17,4.24,0.36
SCT_0100,2,2010,OH,9/30/14,129124.33,5.5,4.28,0.46
SCT_0100,2,2010,CA,NA,NA,5.43,4.36,0.34
SCT_0101,1,2009,OH,9/7/13,NA,6.1,4.2,0.56
SCT_0101,1,2009,CA,9/16/10,56748.04,5.7,4.35,0.3
SCT_0101,1,2010,CA,NA,NA,4.7,4.24,0.42
SCT_0101,2,2009,OH,9/14/13,NA,5.5,4.18,0.49
SCT_0101,2,2009,CA,9/16/10,NA,5.86,4.3,0.36
SCT_0101,2,2010,OH,9/30/14,97613.51,4.9,4.34,0.41
SCT_0101,2,2010,CA,NA,NA,5.5,4.41,0.33
SCT_0102,1,2009,OH,9/10/13,NA,5,4.42,0.33
SCT_0102,1,2009,CA,9/14/10,38789.8,5.15,4.55,0.3
SCT_0102,1,2010,CA,NA,NA,4.02,4.41,0.28
SCT_0102,2,2009,OH,9/14/13,NA,5.6,4.3,0.37
SCT_0102,2,2009,CA,9/20/10,NA,5.05,4.49,0.25
SCT_0102,2,2010,OH,9/30/14,61060.96,5.1,4.55,0.29
SCT_0102,2,2010,CA,NA,NA,4.94,4.5,0.26
SCT_0103,1,2009,OH,9/10/13,NA,5.7,4.41,0.35
SCT_0103,1,2009,CA,9/16/10,38071.47,5.3,4.58,0.25
SCT_0103,1,2010,CA,NA,NA,4.36,4.55,0.19
SCT_0103,2,2009,OH,9/16/13,NA,6.1,4.14,0.52
SCT_0103,2,2009,CA,9/14/10,NA,5.34,4.6,0.25
SCT_0103,2,2010,OH,9/16/14,65122.36,4.8,4.52,0.3
SCT_0103,2,2010,CA,NA,NA,5.83,4.77,0.21
SCT_0104,1,2009,OH,9/7/13,NA,4.9,4.27,0.38
SCT_0104,1,2009,CA,9/12/10,36634.81,5.1,4.57,0.29
SCT_0104,1,2010,CA,NA,NA,3.98,4.47,0.26
SCT_0104,2,2009,OH,9/14/13,NA,6.1,4.34,0.44
SCT_0104,2,2009,CA,9/14/10,NA,5.76,4.48,0.32
SCT_0104,2,2010,OH,9/30/14,74505.58,5.9,4.5,0.41
SCT_0104,2,2010,CA,NA,NA,4.63,4.38,0.29
SCT_0105,1,2009,OH,9/7/13,NA,5.9,4.45,0.37
SCT_0105,1,2009,CA,9/12/10,20831.56,5.7,4.5,0.3
SCT_0105,1,2010,CA,NA,NA,4.5,4.52,0.26
SCT_0105,2,2009,OH,9/16/13,NA,5.4,4.24,0.4
SCT_0105,2,2009,CA,9/16/10,NA,5.58,4.43,0.32
SCT_0105,2,2010,OH,9/23/14,65402.45,6,4.5,0.33
SCT_0105,2,2010,CA,NA,NA,4.88,4.58,0.23
SCT_0106,1,2009,OH,9/7/13,NA,4.9,4.23,0.42
SCT_0106,1,2009,CA,9/28/10,25141.54,4.5,4.42,0.34
SCT_0106,1,2010,CA,NA,NA,4.43,4.47,0.28
SCT_0106,2,2009,OH,9/16/13,NA,5.9,4.08,0.44
SCT_0106,2,2009,CA,10/3/10,NA,4.75,4.34,0.35
SCT_0106,2,2010,OH,9/30/14,84168.9,5.6,4.41,0.38
SCT_0106,2,2010,CA,NA,NA,5.02,4.3,0.34
SCT_0107,1,2009,OH,9/10/13,NA,5.1,4.43,0.31
SCT_0107,1,2009,CA,9/10/10,44536.44,5.1,4.55,0.21
SCT_0107,1,2010,CA,NA,NA,4.72,4.51,0.27
SCT_0107,2,2009,OH,9/14/13,NA,5.1,4.44,0.37
SCT_0107,2,2009,CA,9/12/10,NA,5.52,4.27,0.41
SCT_0107,2,2010,CA,NA,NA,5.15,4.49,0.25
SCT_0108,1,2009,OH,9/7/13,NA,5.3,4.31,0.44
SCT_0108,1,2009,CA,9/12/10,46691.42,5.05,4.43,0.33
SCT_0108,1,2010,CA,NA,NA,3.93,4.51,0.25
SCT_0108,2,2009,OH,9/16/13,NA,6.1,4.25,0.43
SCT_0108,2,2009,CA,9/14/10,NA,5,4.51,0.26
SCT_0108,2,2010,OH,9/28/14,88930.53,6,4.52,0.37
SCT_0108,2,2010,CA,NA,NA,4.49,4.55,0.25
SCT_0109,1,2009,OH,9/7/13,NA,5.8,4.23,0.45
SCT_0109,1,2009,CA,9/12/10,40944.79,5.3,4.55,0.29
SCT_0109,1,2010,CA,NA,NA,4.23,4.56,0.25
SCT_0109,2,2009,OH,9/16/13,NA,5.7,4.15,0.49
SCT_0109,2,2009,CA,9/14/10,NA,5.06,4.43,0.25
SCT_0109,2,2010,OH,9/28/14,64562.17,5.8,4.39,0.39
SCT_0109,2,2010,CA,NA,NA,4.34,4.44,0.3
SCT_0110,1,2009,OH,9/10/13,NA,5.6,4.36,0.39
SCT_0110,1,2009,CA,9/12/10,58903.03,5.4,4.53,0.32
SCT_0110,1,2010,CA,NA,NA,4.42,4.61,0.28
SCT_0110,2,2009,OH,9/14/13,NA,7.1,4.39,0.46
SCT_0110,2,2009,CA,9/16/10,NA,5.16,4.49,0.29
SCT_0110,2,2010,OH,9/30/14,74505.58,6,4.44,0.54
SCT_0110,2,2010,CA,NA,NA,4.56,4.62,0.25
SCT_0111,1,2009,OH,9/7/13,NA,6.2,4.26,0.42
SCT_0111,1,2009,CA,9/16/10,73987.95,5.4,4.46,0.3
SCT_0111,1,2010,CA,NA,NA,5.27,4.42,0.3
SCT_0111,2,2009,OH,9/14/13,NA,6.5,4.24,0.44
SCT_0111,2,2009,CA,9/14/10,NA,5.65,4.42,0.31
SCT_0111,2,2010,OH,9/30/14,92991.93,6.3,4.56,0.36
SCT_0111,2,2010,CA,NA,NA,4.88,4.34,0.35
SCT_0112,1,2009,OH,9/10/13,NA,5.1,4.42,0.39
SCT_0112,1,2009,CA,9/12/10,55311.38,4.75,4.43,0.33
SCT_0112,1,2010,CA,NA,NA,4.36,4.4,0.29
SCT_0112,2,2009,OH,9/16/13,NA,5.2,4.12,0.49
SCT_0112,2,2009,CA,9/16/10,NA,5.69,4.44,0.36
SCT_0112,2,2010,OH,9/16/14,60920.92,6.4,4.39,0.47
SCT_0112,2,2010,CA,NA,NA,4.63,4.25,0.38
SCT_0113,1,2009,OH,9/7/13,NA,5,4.32,0.31
SCT_0113,1,2009,CA,9/14/10,76142.94,4.6,4.43,0.27
SCT_0113,1,2010,CA,NA,NA,4.22,4.5,0.23
SCT_0113,2,2009,OH,9/14/13,NA,5.1,4.44,0.43
